epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,25.7896,1.4136,8.08457,1.40461,0.04737,1,0.05853,0.01756,2.67622,34.4291,1.69693,0.00041761,0.00041761,0.00041761
48,26.2911,1.14302,6.92567,1.23212,0.01746,1,0.01843,0.0049,2.51092,131.401,1.61454,0.000418932,0.000418932,0.000418932
49,26.7899,1.47711,6.97313,1.1698,0.01746,1,0.01843,0.0049,2.51092,131.401,1.61454,0.000419924,0.000419924,0.000419924
50,27.284,1.3111,5.47447,1.2295,0.01746,1,0.01843,0.0049,2.51092,131.401,1.61454,0.000420586,0.000420586,0.000420586
51,27.7895,1.09785,4.29133,1.19561,0.01746,1,0.01843,0.0049,2.51092,131.401,1.61454,0.000420918,0.000420918,0.000420918
52,28.2709,1.44656,3.8353,1.13026,0.01746,1,0.01843,0.0049,2.51092,131.401,1.61454,0.000420919,0.000420919,0.000420919
53,28.8098,1.33775,7.47578,1.21195,0.0884,1,0.11056,0.04422,2.32284,7.60896,1.54524,0.000420591,0.000420591,0.000420591
54,29.3052,1.37169,3.77425,1.02426,0.0884,1,0.11056,0.04422,2.32284,7.60896,1.54524,0.000419932,0.000419932,0.000419932
55,29.8352,1.16345,4.37727,1.34438,0.0884,1,0.11056,0.04422,2.32284,7.60896,1.54524,0.000418944,0.000418944,0.000418944
56,30.3349,1.3054,5.45653,1.26569,0.0884,1,0.11056,0.04422,2.32284,7.60896,1.54524,0.000417625,0.000417625,0.000417625
57,30.8857,1.0745,4.86531,1.1824,0.0884,1,0.11056,0.04422,2.32284,7.60896,1.54524,0.000415977,0.000415977,0.000415977
58,31.3919,1.8172,6.01874,1.31233,0.0884,1,0.11056,0.04422,2.32284,7.60896,1.54524,0.000413998,0.000413998,0.000413998
59,31.9293,1.21692,4.76586,1.26219,0,0,0,0,2.12968,8.25871,1.29779,0.000411689,0.000411689,0.000411689
60,32.4311,1.25266,5.94944,1.13705,0,0,0,0,2.12968,8.25871,1.29779,0.00040905,0.00040905,0.00040905
61,32.9615,1.08267,5.45511,1.13276,0,0,0,0,2.12968,8.25871,1.29779,0.000406081,0.000406081,0.000406081
62,33.4515,1.6941,9.32532,1.15252,0,0,0,0,2.12968,8.25871,1.29779,0.000402782,0.000402782,0.000402782
63,33.976,1.29731,7.21128,1.03242,0,0,0,0,2.12968,8.25871,1.29779,0.000399153,0.000399153,0.000399153
64,34.4729,1.43246,5.86435,0.98066,0,0,0,0,2.12968,8.25871,1.29779,0.000395194,0.000395194,0.000395194
65,35.001,1.36663,5.44608,1.06585,0,0,0,0,1.35986,5.5691,1.05096,0.000390905,0.000390905,0.000390905
66,35.4852,1.16604,4.00416,0.93104,0,0,0,0,1.35986,5.5691,1.05096,0.000386286,0.000386286,0.000386286
67,36.0245,1.35255,3.91095,0.93813,0,0,0,0,1.35986,5.5691,1.05096,0.000381336,0.000381336,0.000381336
68,36.5014,1.4152,4.9076,0.95596,0,0,0,0,1.35986,5.5691,1.05096,0.000376057,0.000376057,0.000376057
69,37.0269,1.71133,5.48357,1.14731,0,0,0,0,1.35986,5.5691,1.05096,0.000370447,0.000370447,0.000370447
70,37.5896,1.48848,6.19267,1.01225,0,0,0,0,1.35986,5.5691,1.05096,0.000364508,0.000364508,0.000364508
71,38.0926,1.39139,4.08728,1.06504,0,0,0,0,1.35986,5.5691,1.05096,0.000358238,0.000358238,0.000358238
72,38.6132,1.39525,5.07492,1.04473,0.00333,1,0.995,0.995,0.81429,3.97757,0.83057,0.000351639,0.000351639,0.000351639
73,39.1392,1.02884,5.76632,0.95168,0.00333,1,0.995,0.995,0.81429,3.97757,0.83057,0.000344709,0.000344709,0.000344709
74,39.6606,1.03113,8.92983,1.02429,0.00333,1,0.995,0.995,0.81429,3.97757,0.83057,0.000337449,0.000337449,0.000337449
75,40.1794,1.48738,3.631,0.92373,0.00333,1,0.995,0.995,0.81429,3.97757,0.83057,0.000329859,0.000329859,0.000329859
