epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.74814,5.62373,101.513,2.93618,0,0,0,0,0,2.10547,0,0,0,0
2,10.1493,5.51662,95.992,2.8786,0,0,0,0,0,2.17188,0,1.50197e-05,1.50197e-05,1.50197e-05
3,10.5758,5.4813,102.677,2.97976,0,0,0,0,0,2.26953,0,2.67387e-05,2.67387e-05,2.67387e-05
4,10.8659,5.57207,103.923,2.92398,0,0,0,0,0,2.40039,0,3.5157e-05,3.5157e-05,3.5157e-05
5,11.1432,5.21988,70.0779,2.7889,0,0,0,0,0,2.56055,0,4.02747e-05,4.02747e-05,4.02747e-05
6,11.4067,4.36581,53.8763,2.32206,0,0,0,0,0,2.75781,0,4.20917e-05,4.20917e-05,4.20917e-05
7,11.6709,5.06447,94.2253,3.03436,0,0,0,0,0,3.01367,0,4.06081e-05,4.06081e-05,4.06081e-05
8,11.94,4.80504,79.1048,2.56294,0,0,0,0,0,3.28516,0,3.58238e-05,3.58238e-05,3.58238e-05
9,12.2072,4.88962,109.881,2.32159,0,0,0,0,0,3.59766,0,2.77389e-05,2.77389e-05,2.77389e-05
10,12.4758,5.58189,164.705,2.72391,0,0,0,0,0,3.98242,0,1.63533e-05,1.63533e-05,1.63533e-05
