epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,17.5506,0.53714,1.06405,1.09727,0.24897,0.61667,0.44304,0.36903,1.43407,3.0109,1.42614,2.82082e-05,2.82082e-05,2.82082e-05
40,17.9215,0.5522,1.32073,0.97773,0.24897,0.61667,0.44304,0.36903,1.43407,3.0109,1.42614,2.84911e-05,2.84911e-05,2.84911e-05
41,18.3336,0.66813,1.18668,1.10528,0.25164,0.61667,0.44656,0.36984,1.47166,3.01348,1.43383,2.87504e-05,2.87504e-05,2.87504e-05
42,18.7179,0.64884,1.11643,1.06561,0.25164,0.61667,0.44656,0.36984,1.47166,3.01348,1.43383,2.89861e-05,2.89861e-05,2.89861e-05
43,19.155,0.58048,1.47026,1.15942,0.25458,0.61667,0.44771,0.37041,1.46784,3.00131,1.42536,2.91983e-05,2.91983e-05,2.91983e-05
44,19.5362,0.5558,1.12122,1.04529,0.25458,0.61667,0.44771,0.37041,1.46784,3.00131,1.42536,2.93869e-05,2.93869e-05,2.93869e-05
45,19.9323,0.5441,0.99731,1.05956,0.25288,0.61667,0.44579,0.36742,1.47625,2.98926,1.43369,2.9552e-05,2.9552e-05,2.9552e-05
46,20.3223,0.67796,1.05963,1.1584,0.25288,0.61667,0.44579,0.36742,1.47625,2.98926,1.43369,2.96935e-05,2.96935e-05,2.96935e-05
47,20.7144,0.51522,1.34919,1.12409,0.34784,0.61667,0.45075,0.37051,1.47524,3.00763,1.41835,2.98114e-05,2.98114e-05,2.98114e-05
48,21.0924,0.60463,0.96687,1.0484,0.34784,0.61667,0.45075,0.37051,1.47524,3.00763,1.41835,2.99058e-05,2.99058e-05,2.99058e-05
49,21.4905,0.90854,1.13124,1.33036,0.26731,0.61667,0.4508,0.36959,1.49658,3.02726,1.41257,2.99766e-05,2.99766e-05,2.99766e-05
50,21.8681,0.59012,1.01139,1.06739,0.26731,0.61667,0.4508,0.36959,1.49658,3.02726,1.41257,3.00238e-05,3.00238e-05,3.00238e-05
51,22.2693,0.69514,0.83708,1.17871,0.26463,0.61667,0.45079,0.36959,1.50541,3.01051,1.40754,3.00475e-05,3.00475e-05,3.00475e-05
52,22.6525,0.64401,1.35125,1.09664,0.26463,0.61667,0.45079,0.36959,1.50541,3.01051,1.40754,3.00476e-05,3.00476e-05,3.00476e-05
53,23.0453,0.40477,1.08668,0.916,0.26463,0.61667,0.45079,0.36959,1.50541,3.01051,1.40754,3.00242e-05,3.00242e-05,3.00242e-05
54,23.4585,0.52806,0.84202,1.0002,0.257,0.61667,0.45153,0.37099,1.47464,2.98403,1.37938,2.99772e-05,2.99772e-05,2.99772e-05
55,23.8536,0.62639,1.02294,1.1302,0.257,0.61667,0.45153,0.37099,1.47464,2.98403,1.37938,2.99066e-05,2.99066e-05,2.99066e-05
56,24.2513,0.57572,0.78506,1.12459,0.257,0.61667,0.45153,0.37099,1.47464,2.98403,1.37938,2.98125e-05,2.98125e-05,2.98125e-05
57,24.6555,0.63739,0.80653,1.15554,0.25059,0.61667,0.45301,0.37067,1.4858,2.97116,1.38662,2.96948e-05,2.96948e-05,2.96948e-05
58,25.0685,0.82722,1.26178,1.2978,0.25059,0.61667,0.45301,0.37067,1.4858,2.97116,1.38662,2.95535e-05,2.95535e-05,2.95535e-05
59,25.4875,0.49447,0.81902,1.18375,0.25059,0.61667,0.45301,0.37067,1.4858,2.97116,1.38662,2.93887e-05,2.93887e-05,2.93887e-05
60,25.8902,0.59351,1.01029,1.22575,0.1902,0.61667,0.45134,0.35185,1.48515,2.93742,1.39782,2.92003e-05,2.92003e-05,2.92003e-05
61,26.2768,0.56305,0.75838,1.07092,0.1902,0.61667,0.45134,0.35185,1.48515,2.93742,1.39782,2.89884e-05,2.89884e-05,2.89884e-05
62,26.6841,0.46538,0.96502,1.08739,0.1902,0.61667,0.45134,0.35185,1.48515,2.93742,1.39782,2.87529e-05,2.87529e-05,2.87529e-05
63,27.0824,0.5643,0.93497,1.10823,0.19017,0.63333,0.45849,0.37216,1.50345,2.9141,1.39923,2.84938e-05,2.84938e-05,2.84938e-05
64,27.4834,0.59339,0.78576,1.01995,0.19017,0.63333,0.45849,0.37216,1.50345,2.9141,1.39923,2.82112e-05,2.82112e-05,2.82112e-05
65,27.8777,0.4789,0.74851,0.98529,0.19017,0.63333,0.45849,0.37216,1.50345,2.9141,1.39923,2.7905e-05,2.7905e-05,2.7905e-05
66,28.2796,0.83626,1.32187,1.29633,0.18129,0.46667,0.45428,0.36917,1.51471,2.96381,1.39955,2.75753e-05,2.75753e-05,2.75753e-05
67,28.6881,0.67152,0.78825,1.11523,0.18129,0.46667,0.45428,0.36917,1.51471,2.96381,1.39955,2.7222e-05,2.7222e-05,2.7222e-05
68,29.0802,0.49379,0.81514,0.98272,0.18129,0.46667,0.45428,0.36917,1.51471,2.96381,1.39955,2.68451e-05,2.68451e-05,2.68451e-05
69,29.4797,0.74538,1.21798,1.24352,0.16766,0.46667,0.45596,0.36934,1.53488,2.95271,1.41049,2.64447e-05,2.64447e-05,2.64447e-05
70,29.865,0.5827,1.41088,1.10649,0.16766,0.46667,0.45596,0.36934,1.53488,2.95271,1.41049,2.60207e-05,2.60207e-05,2.60207e-05
71,30.2566,0.51132,0.76844,1.0552,0.16766,0.46667,0.45596,0.36934,1.53488,2.95271,1.41049,2.55731e-05,2.55731e-05,2.55731e-05
72,30.6643,0.53381,1.102,1.08869,0.1575,0.46667,0.45359,0.35109,1.5425,2.99467,1.42271,2.5102e-05,2.5102e-05,2.5102e-05
73,31.0382,0.42598,0.92325,0.99336,0.1575,0.46667,0.45359,0.35109,1.5425,2.99467,1.42271,2.46073e-05,2.46073e-05,2.46073e-05
74,31.4255,0.89769,1.32299,1.37904,0.1575,0.46667,0.45359,0.35109,1.5425,2.99467,1.42271,2.40891e-05,2.40891e-05,2.40891e-05
75,31.8276,0.73569,0.88245,1.10479,0.43068,0.46394,0.45329,0.35207,1.54703,3.02187,1.43181,2.35472e-05,2.35472e-05,2.35472e-05
76,32.213,0.63125,1.20849,1.15329,0.43068,0.46394,0.45329,0.35207,1.54703,3.02187,1.43181,2.29819e-05,2.29819e-05,2.29819e-05
77,32.5866,0.54276,0.73724,0.98649,0.43068,0.46394,0.45329,0.35207,1.54703,3.02187,1.43181,2.23929e-05,2.23929e-05,2.23929e-05
78,32.9936,0.4746,0.77718,1.01548,0.09783,0.46667,0.44891,0.33572,1.55361,3.05392,1.42848,2.17805e-05,2.17805e-05,2.17805e-05
79,33.4053,0.83808,1.1808,1.40884,0.09783,0.46667,0.44891,0.33572,1.55361,3.05392,1.42848,2.11444e-05,2.11444e-05,2.11444e-05
80,33.7879,0.41999,0.71979,1.01565,0.09783,0.46667,0.44891,0.33572,1.55361,3.05392,1.42848,2.04848e-05,2.04848e-05,2.04848e-05
81,34.1672,0.57202,0.79497,1.0152,0.10185,0.46667,0.44257,0.33254,1.58237,3.09499,1.43968,1.98016e-05,1.98016e-05,1.98016e-05
82,34.5296,0.28292,0.52925,0.84141,0.10185,0.46667,0.44257,0.33254,1.58237,3.09499,1.43968,1.90949e-05,1.90949e-05,1.90949e-05
83,34.9085,0.46513,0.66006,0.92404,0.10185,0.46667,0.44257,0.33254,1.58237,3.09499,1.43968,1.83646e-05,1.83646e-05,1.83646e-05
84,35.2898,0.65541,1.00872,1.17067,0.10134,0.46667,0.44462,0.33529,1.57377,3.09726,1.4352,1.76107e-05,1.76107e-05,1.76107e-05
85,35.6645,0.53001,0.73017,1.11174,0.10134,0.46667,0.44462,0.33529,1.57377,3.09726,1.4352,1.68333e-05,1.68333e-05,1.68333e-05
86,36.0603,0.54725,0.81452,1.13915,0.10134,0.46667,0.44462,0.33529,1.57377,3.09726,1.4352,1.60323e-05,1.60323e-05,1.60323e-05
87,36.4383,0.46488,0.63354,0.97879,0.10134,0.46667,0.44462,0.33529,1.57377,3.09726,1.4352,1.52077e-05,1.52077e-05,1.52077e-05
88,36.8352,0.52717,0.70649,1.0278,0.09259,0.46667,0.44044,0.33356,1.52238,3.09164,1.38927,1.43596e-05,1.43596e-05,1.43596e-05
89,37.2115,0.50882,0.72877,1.06552,0.09259,0.46667,0.44044,0.33356,1.52238,3.09164,1.38927,1.34879e-05,1.34879e-05,1.34879e-05
90,37.5884,0.63112,0.98528,1.0332,0.09259,0.46667,0.44044,0.33356,1.52238,3.09164,1.38927,1.25927e-05,1.25927e-05,1.25927e-05
91,42.1239,0.54337,0.9056,1.05264,0.09259,0.46667,0.44044,0.33356,1.52238,3.09164,1.38927,1.16739e-05,1.16739e-05,1.16739e-05
92,42.6445,0.3792,0.7753,0.82482,0.07778,0.46667,0.44279,0.3372,1.51797,3.0841,1.38886,1.07315e-05,1.07315e-05,1.07315e-05
93,43.0385,0.38608,0.76093,0.9013,0.07778,0.46667,0.44279,0.3372,1.51797,3.0841,1.38886,9.76562e-06,9.76562e-06,9.76562e-06
94,43.4073,0.43353,0.90867,0.96576,0.07778,0.46667,0.44279,0.3372,1.51797,3.0841,1.38886,8.77613e-06,8.77613e-06,8.77613e-06
95,43.8532,0.37714,0.93197,0.92749,0.07778,0.46667,0.44279,0.3372,1.51797,3.0841,1.38886,7.76308e-06,7.76308e-06,7.76308e-06
96,44.3041,0.53415,1.01492,1.03922,0.09352,0.46667,0.43356,0.34443,1.50119,3.07016,1.37921,6.72648e-06,6.72648e-06,6.72648e-06
97,44.704,0.45584,0.76669,0.85192,0.09352,0.46667,0.43356,0.34443,1.50119,3.07016,1.37921,5.6663e-06,5.6663e-06,5.6663e-06
98,45.1038,0.43189,0.85582,0.94418,0.09352,0.46667,0.43356,0.34443,1.50119,3.07016,1.37921,4.58257e-06,4.58257e-06,4.58257e-06
99,45.5377,0.44199,0.84406,0.94654,0.09352,0.46667,0.43356,0.34443,1.50119,3.07016,1.37921,3.47528e-06,3.47528e-06,3.47528e-06
100,46.0174,0.36906,0.76181,0.9141,0.08447,0.46667,0.43521,0.34444,1.47844,3.05167,1.36526,2.34442e-06,2.34442e-06,2.34442e-06
